date,open,close,rsi,avg_gain,avg_loss
20240102,78200,79600,80.9,547.0995,129.135
20240103,78500,77000,62.44,508.021,305.6253
20240104,76100,76600,60.16,471.7338,312.3664
20240105,76700,76600,60.16,438.0385,290.0545
20240108,77000,76500,59.53,406.75,276.4792
20240109,77400,74700,49.5,377.6965,385.3021
20240110,75000,73600,44.56,350.7181,436.3519
20240111,72900,73200,42.88,325.6668,433.7554
20240112,73000,73100,42.45,302.4049,409.9157
20240115,73200,73900,47.03,337.9474,380.636
20240116,73500,72600,41.28,313.8083,446.3049
20240117,73100,71000,35.53,291.3934,528.7117
20240118,71600,71700,39.5,320.5796,490.9465
20240119,73500,74700,52.9,511.9668,455.8789
20240122,75900,75100,54.35,503.9692,423.3162
20240123,75700,75200,54.72,475.1142,393.0793
20240124,75200,74000,49.47,441.1775,450.7165
20240125,74200,74100,49.9,416.8077,418.5224
20240126,73700,73400,46.88,387.0357,438.628
20240129,73800,74400,51.4,430.8189,407.2974
20240130,75000,74300,50.94,400.0461,385.3476
20240131,73400,72700,44.04,371.4714,472.1085
20240201,73000,73600,48.28,409.2234,438.3865
20240202,74000,75200,54.84,494.2789,407.0731
20240205,74200,74300,50.93,458.9733,442.2822
20240206,74300,74400,51.34,433.3323,410.6906
20240207,74600,75000,53.86,445.2371,381.3556
20240208,75000,74100,49.7,413.4345,418.4016
20240213,74800,75200,54.35,462.4749,388.5158
20240214,73700,74000,49.03,429.441,446.4789
20240215,74200,73000,45.07,398.7666,486.0161
20240216,73300,72800,44.3,370.2833,465.5864
20240219,72800,73800,48.99,415.263,432.3302
20240220,73700,73300,46.87,385.6014,437.1638
20240221,73400,73000,45.59,358.0584,427.3664
20240222,73800,73100,46.12,339.6257,396.8402
20240223,73600,72900,45.17,315.3667,382.7802
20240226,72300,72800,44.68,292.8405,362.5816
20240227,73100,72900,45.32,279.0662,336.6829
20240228,72900,73200,47.3,280.5615,312.6341
20240229,72600,73400,48.63,274.8071,290.3031
20240304,74300,74900,57.34,362.3209,269.5672
20240305,74600,73700,50.03,336.4408,336.0267
20240306,73200,72900,45.84,312.4093,369.1676
20240307,73100,72200,42.48,290.0944,392.7985
20240308,72800,73300,48.82,347.9448,364.7415
20240311,72900,72400,44.5,323.0916,402.9742
20240312,72600,73300,49.33,364.2993,374.1904
20240313,73700,74100,53.23,395.4208,347.4625
20240314,74400,74300,54.18,381.4622,322.6437
20240315,73400,72300,44.46,354.2149,442.4549
20240318,72600,72800,47.02,364.6281,410.851
20240319,72300,72800,47.02,338.5832,381.5045
20240320,73700,76900,63.16,607.2559,354.2542
20240321,79200,79300,69.09,735.309,328.9503
20240322,79600,78900,67.15,682.7869,334.0253
20240325,79600,78200,63.77,634.0164,360.1663
20240326,79700,79900,67.98,710.1581,334.4402
20240327,79200,79800,67.49,659.4325,317.6944
20240328,79400,80800,69.86,683.7588,295.002
20240329,81200,82400,73.23,749.2046,273.9304
20240401,83200,82000,71.09,695.69,282.9354
20240402,82900,85000,76.61,860.2835,262.7257
20240403,84300,84100,72.16,798.8347,308.2453
20240404,85200,85300,74.3,827.4894,286.2278
20240405,84500,84500,70.41,768.383,322.9258
20240408,85200,84500,70.41,713.4985,299.8597
20240409,84500,83600,65.91,662.5343,342.7268
20240411,83200,84100,67.16,650.9247,318.2463
20240412,84700,83700,65.1,604.4301,324.0859
20240415,82900,82200,57.9,561.2565,408.0798
20240416,81200,80000,49.29,521.1668,536.0741
20240417,80700,78900,45.64,483.9406,576.3545
20240418,78800,79600,48.27,499.3734,535.1863
20240419,78300,77600,42.02,463.7039,639.8159
20240422,77400,76100,38.04,430.5822,701.2576
20240423,76400,75500,36.55,399.8263,694.0249
20240424,77500,78600,47.91,592.6958,644.4517
20240425,77300,76300,41.91,550.3604,762.7051
20240426,77800,76700,43.24,539.6204,708.2262
20240429,77400,76700,43.24,501.0761,657.6386
20240430,77000,77500,46.11,522.4278,610.6644
20240502,77600,78000,47.88,520.8258,567.0455
20240503,79000,77600,46.56,483.624,555.1137
20240507,79600,81300,58.05,713.3651,515.4627
20240508,80800,81300,58.05,662.4105,478.644
20240509,81100,79700,52.4,615.0954,558.7408
20240510,80400,79200,50.74,571.16,554.5451
20240513,79400,78400,48.11,530.3629,572.0776
20240514,78600,78300,47.77,492.4798,538.3577
20240516,80200,78200,47.42,457.3027,507.0465
20240517,78600,77400,44.58,424.6382,527.9717
20240520,78100,78900,50.56,501.4498,490.2594
20240521,78500,78400,48.68,465.6319,490.9552
20240522,78100,77700,46.08,432.3725,505.887
20240523,77700,78300,48.61,444.3459,469.7522
20240524,76800,75900,40.44,412.6069,607.627
20240527,75300,77200,45.76,475.9921,564.2251
20240528,76500,77600,47.32,470.5641,523.9233
20240529,77700,75200,39.91,436.9524,657.9288
20240530,74800,73500,35.65,405.7415,732.3624
20240531,74500,73500,35.65,376.76,680.0508
20240603,74400,75700,44.53,506.9914,631.4758
20240604,74900,75300,43.36,470.7777,614.9418
20240605,78000,77400,50.7,587.1508,571.0174
20240607,78400,77300,50.36,545.2114,537.3733
20240610,76100,75700,45.22,506.2677,613.2752
20240611,75900,75200,43.72,470.1058,605.1841
20240612,75300,76500,48.51,529.3839,561.9567
20240613,78400,78600,55.15,641.5708,521.8169
20240614,79700,79600,57.93,667.1729,484.5443
20240617,79200,78100,52.65,619.5177,557.0768
20240618,78700,79800,57.39,696.695,517.2856
20240619,81100,81200,60.86,746.931,480.3366
20240620,81500,81600,61.82,722.1503,446.0269
20240621,80700,80000,55.93,670.5681,528.4535
20240624,79700,80600,57.56,665.5275,490.7069
20240625,80600,80800,58.12,632.2756,455.6564
20240626,80100,81300,59.55,622.8273,423.1095
20240627,81300,81600,60.42,599.7682,392.8874
20240628,81900,81500,59.96,556.9276,371.9669
20240701,81500,81800,60.93,538.5756,345.3978
20240702,82500,81800,60.93,500.106,320.7265
20240703,82300,81800,60.93,464.3841,297.8175
20240704,82900,84600,69.54,631.2138,276.5448
20240705,85600,87100,74.86,764.6985,256.7916
20240708,87900,87400,75.42,731.5058,238.4493
20240709,87800,87800,76.17,707.8268,221.4173
20240710,87600,87800,76.17,657.2677,205.6017
20240711,88500,87600,74.84,610.32,205.2016
20240712,85900,84400,57.49,566.7258,419.1158
20240715,84700,86700,63.96,690.5311,389.1789
20240716,86900,87700,66.35,712.636,361.3804
20240717,87100,86700,61.92,661.7334,406.9961
20240718,83800,86900,62.46,628.7525,377.925
20240719,85600,84400,52.44,583.8416,529.5018
20240722,84400,83000,47.82,542.1386,591.6802
20240723,84200,83900,50.82,567.7001,549.4173
20240724,82900,82000,44.94,527.1501,645.8875
20240725,80400,80400,40.67,489.4965,714.0384
20240726,80700,80900,42.51,490.2468,663.0357
20240729,81600,81200,43.64,476.6577,615.676
20240730,80400,81000,43.03,442.6107,585.9848
20240731,81200,83900,53.18,618.1386,544.1288
20240801,86000,83100,50.51,573.9858,562.4053
20240802,81000,79600,40.84,532.9868,772.2335
20240805,76700,71400,27.53,494.9163,1302.7882
20240806,74900,72500,30.79,538.1366,1209.7319
20240807,73000,74700,36.9,656.8411,1123.3225
20240808,73200,73400,34.94,609.9239,1135.9423
20240809,75700,74700,38.46,659.215,1054.8036
20240812,75200,75500,40.59,669.2711,979.4605
20240813,76500,76100,42.21,664.3232,909.499
20240814,77400,77200,45.16,695.443,844.5348
20240816,79400,80200,52.31,860.0542,784.2109
20240819,80100,78300,48.04,798.6217,863.9101
20240820,79500,78900,49.44,784.4345,802.2022
20240821,77900,78300,48.04,728.4034,787.7592
20240822,78700,78300,48.04,676.3746,731.4907
20240823,77700,77700,46.52,628.0621,722.0985
20240826,78100,76100,42.63,583.2006,784.8058
20240827,75700,75800,41.92,541.5434,750.1768
20240828,75800,76400,43.93,545.7188,696.5927
20240829,73600,74000,38.24,506.7389,818.2647
